tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Då, han, hadde, sagt, dei, andre, farvel, ,, byrja, han, segjer, han, :, 
, —, Ja, ,, i, morgon, dreg, vi, av, garde, ., Det, er, ein, fin, dag, i, dag, ., 
, —, Eg, har, venta, så, hardt, på, deg, ., Eg, er, så, glad, ., 
, —, Eg, likar, ikkje, å, dra, ut, på, sjøen, i, mørke, natta, ., Kva, heiter, de, ?, 
, —, Eg, har, aldri, vore, ute, åleine, nokon, gong, ., 
, —, Tankane, dine, vil, vere, hos, dei, som, ventar, deg, ., Kva, ønskjer, du, å, få, vite, ?, —, Eg, ynskjer, å, vite, kva, som, kjem, til, å, skje, etter, avreisa, ., —, Det, må, du, finne, ut, sjølv, ., Vi, trur, på, Gud, ,, og, Gud, er, ikkje, langt, borte, ., 
, —, Gud, har, ei, hand, ,, ei, hand, med, ei, handskrif, ., Vi, er, åleine, ,, og, vi, har, inga, handskrift, ., 
, —, Men, det, er, ei, vakker, handskrift, ,, ei, hand, —, så, fin, å, kjenne, ., Vi, kan, skrive, til, kvarandre, ,, og, det, er, ei, velsigning, ., 
, Kjære, Gud, !, Takk, for, livet, vårt, ., Hjelp, meg, å, vere, sterk, ., Gjev]",VERB PRON AUX VERB DET DET NOUN PUNCT VERB PRON VERB PRON PUNCT SPACE PUNCT INTJ PUNCT ADP PROPN X PRON ADP PROPN PUNCT PRON AUX X ADJ NOUN ADP NOUN PUNCT SPACE PUNCT PROPN AUX ADJ ADV ADJ ADP PRON PUNCT PROPN AUX ADV ADJ PUNCT SPACE PUNCT X X X PART VERB ADP ADP NOUN ADP ADJ NOUN PUNCT NOUN VERB PRON PUNCT SPACE PUNCT PROPN AUX ADV ADJ ADP PROPN X X PUNCT SPACE PUNCT PROPN PRON AUX VERB ADP PROPN PRON VERB PRON PUNCT NOUN VERB PRON PART AUX VERB PUNCT PUNCT PROPN PROPN PART VERB PRON PRON VERB SCONJ PART VERB ADP NOUN PUNCT PUNCT PRON AUX PRON VERB ADP NOUN PUNCT PRON VERB ADP PROPN PUNCT CCONJ PROPN AUX ADV ADJ ADP PUNCT SPACE PUNCT PROPN VERB DET X PUNCT X X ADP DET NOUN PUNCT PRON AUX PROPN PUNCT CCONJ PRON VERB NOUN PROPN PUNCT SPACE PUNCT CCONJ PRON AUX DET ADJ NOUN PUNCT DET X PUNCT ADV ADJ PART VERB PUNCT PRON AUX VERB ADP NOUN PUNCT CCONJ PRON VERB DET NOUN PUNCT SPACE ADJ PROPN PUNCT NOUN ADP NOUN PRON PUNCT VERB PRON PART VERB ADJ PUNCT PROPN,0.05540540540540541,0.4110564399421139,197,740,0.5177664974619289,0.3285206999487211
"[Noen, beskjed, i, tilfelle, han, skulle, trenge, hjelp, ., Det, var, alt, ., Et, par, av, barna, gråt, ., De, hadde, ingen, foreldre, ., Alle, disse, barna, hadde, levd, en, stund, i, en, eller, annen, leir, ., 
, «, Fort, dere, nå, !, Fort, dere, nå, ,, », sa, Nur, til, oss, ., «, Hvis, han, er, her, ,, er, han, nødt, til, å, bli, her, ,, og, hvis, han, blir, skutt, ,, blir, han, også, skutt, ., », Nur, hadde, bare, vært, på, kontoret, et, kvarters, tid, ,, da, han, hørte, stemmer, som, skrek, og, trengte, inn, til, ham, ., En, annen, fangevokter, ba, en, lang, liste, over, navn, over, hvilke, fanger, som, arbeidet, på, fabrikken, hver, formiddag, ., Jeg, spurte, hvem, fangene, var, ,, og, fikk, vite, at, det, var, politiske, fanger, ., Politiske, fanger, !, Jeg, løp, bort, til, kontoret, hans, ., Fangevokteren, stirret, stumt, på, meg, ., «, Hvordan, i, all, verden, er, han, kommet, hit, ?, Hvorfor, er, han, her, ?, 
, «, Han, er, min, bestefar, ., Jeg, hørte, de, snakket, på, telefonen, hans, ., Nur, kom, ., Han, sa, at, han, ikke, kunne, ta, ansvaret, for, å, sende, ham, tilbake, dit, ., 
, «, Ingen, telefon, hit]",DET NOUN ADP NOUN PRON AUX VERB NOUN PUNCT PRON AUX PRON PUNCT DET NOUN ADP NOUN VERB PUNCT PRON VERB DET NOUN PUNCT DET DET NOUN AUX VERB DET NOUN ADP DET CCONJ DET NOUN PUNCT SPACE PUNCT PROPN PRON ADV PUNCT ADV PRON ADV PUNCT PUNCT VERB PROPN ADP PRON PUNCT PUNCT SCONJ PRON AUX ADV PUNCT AUX PRON ADJ SCONJ PART VERB ADV PUNCT CCONJ SCONJ PRON AUX VERB PUNCT AUX PRON ADV VERB PUNCT PUNCT PROPN AUX ADV AUX ADP NOUN DET NOUN NOUN PUNCT SCONJ PRON VERB NOUN PRON VERB CCONJ VERB ADP ADP PRON PUNCT DET DET NOUN VERB DET ADJ NOUN ADP NOUN SCONJ DET NOUN PRON VERB ADP NOUN DET NOUN PUNCT PRON VERB PRON NOUN AUX PUNCT CCONJ AUX VERB SCONJ PRON AUX ADJ NOUN PUNCT ADJ NOUN PUNCT PRON VERB ADP ADP NOUN PRON PUNCT NOUN VERB ADJ ADP PRON PUNCT PUNCT ADV ADP DET NOUN AUX PRON VERB ADV PUNCT ADV AUX PRON ADV PUNCT SPACE PUNCT PRON AUX PRON NOUN PUNCT PRON VERB PRON VERB ADP NOUN PRON PUNCT PROPN VERB PUNCT PRON VERB SCONJ PRON PART AUX VERB NOUN SCONJ PART VERB PRON ADP ADV PUNCT SPACE PUNCT DET NOUN ADV,0.04484304932735426,0.386500593119809,204,892,0.5637254901960784,0.3577654783530077
"[Men, så, banket, jomfru, Hansen, på, døren, ., «, Hvem, skal, jeg, sende, ?, », spurte, hun, med, sin, krasseste, bass-stemme, ., Alle, som, én, ristet, på, hodet, ., Den, eneste, som, hadde, en, sjanse, ,, var, jomfru, Hansen, ., Men, hansken, var, kastet, !, Alle, løp, dit, og, stilte, seg, på, rad, som, soldatene, på, en, parade, etter, en, «, befrielse, », ., 
, Imens, ventet, en, stor, del, av, klassen, spent, utenfor, på, hva, resultatet, skulle, bli, ., Nå, hørte, de, en, klar, ,, men, dempet, stemme, som, hvisket, :, —, «, Takk, og, Pris, ,, takk, og, pris, !, », Da, spratt, Hans, opp, og, ropte, :, —, «, Storartet, ,, Hans, », !, Den, stakkars, jomfru, Hansen, følte, seg, fornedret, og, hadde, det, virkelig, vondt, ., I, dag, går, Hans, på, skole, i, København, ., 
, Men, er, det, ikke, underlig, ?, Ingen, hadde, våget, å, komme, og, ta, fra, jomfru, Hansen, Hans, ,, enda, hun, ofte, hadde, forsøkt, å, være, uartig, ., Derfor, var, det, så, fryktelig, å, se, henne, bli, gjort, til, latter, for, hele, skolen, ., Ingen, kunne, ane]",CCONJ ADV VERB PROPN PROPN ADP NOUN PUNCT PUNCT PRON AUX PRON VERB PUNCT PUNCT VERB PRON ADP PRON ADJ NOUN PUNCT PRON ADP NUM VERB ADP NOUN PUNCT DET NUM PRON VERB DET NOUN PUNCT AUX ADJ PROPN PUNCT CCONJ NOUN AUX VERB PUNCT PRON VERB ADV CCONJ VERB PRON ADP NOUN PRON NOUN ADP DET NOUN ADP DET PUNCT NOUN PUNCT PUNCT SPACE ADV VERB DET ADJ NOUN ADP NOUN ADJ SCONJ SCONJ PRON NOUN AUX VERB PUNCT ADV VERB PRON DET ADJ PUNCT CCONJ VERB VERB PRON VERB PUNCT PUNCT PUNCT NOUN CCONJ NOUN PUNCT NOUN CCONJ NOUN PUNCT PUNCT ADV VERB PROPN ADP CCONJ VERB PUNCT PUNCT PUNCT PROPN PUNCT X PUNCT PUNCT DET NOUN NOUN PROPN VERB PRON ADJ CCONJ VERB PRON ADJ ADJ PUNCT ADP NOUN VERB PROPN ADP NOUN ADP PROPN PUNCT SPACE CCONJ AUX PRON PART ADJ PUNCT PRON AUX VERB PART VERB CCONJ VERB ADP PROPN PROPN PROPN PUNCT ADV PRON ADJ AUX VERB PART AUX ADJ PUNCT ADV AUX PRON ADV ADJ PART VERB PRON AUX VERB ADP NOUN ADP ADJ NOUN PUNCT PRON AUX VERB,0.05515587529976019,0.401503184713375,186,834,0.5161290322580645,0.20318741375251062
"[Det, synspunkt, at, miljøskifte, og, omplassering, kan, medføre, stress-, og, angsttilstander, hos, eldre, ,, er, blitt, hevdet, av, mange, ., Men, hva, vet, vi, om, dette, mer, konkret, ?, Hva, slags, konsekvenser, og, hva, slags, følger, kan, miljøskifte, og, omplassering, få, for, eldre, menneskers, livskvalitet, ?, Hvordan, kan, de, ulike, forhold, man, tar, sikte, på, å, bedre, gjennom, omplassering, og, miljøskifte, ,, virke, inn, på, eldre, menneskers, livskvalitet, ,, og, hvordan, kan, man, gripe, inn, for, å, forebygge, eventuelle, uønskede, virkninger, ?, 
, Dette, vil, være, utgangspunktet, for, denne, artikkelen, ., I, det, neste, vil, jeg, redegjøre, for, en, teoretisk, drøftelse, av, begrepet, miljø, og, se, litt, på, de, psyko-sosiale, miljøfaktorer, man, må, ta, hensyn, til, i, arbeidet, med, eldre, ,, og, litt, på, de, metoder, og, teknikker, som, i, dag, foreligger, for, å, skape, et, tilfredsstillende, miljø, ., Så, vil, jeg, ta, for, meg, et, konkret, eksempel, fra, vår, kliniske, erfaring, med, omplassering, av, eldre, pasienter, ., Videre, vil, jeg, prøve, å, trekke, sammen, og, oppsummere, de, viktigste, momentene, vi, fant, i, vår, undersøkelse, av, de, eldre, pasientenes, situasjon, ,]",DET NOUN SCONJ NOUN CCONJ NOUN AUX VERB NOUN CCONJ NOUN ADP ADJ PUNCT AUX AUX VERB ADP ADJ PUNCT CCONJ PRON VERB PRON ADP PRON ADJ ADJ PUNCT PRON NOUN NOUN CCONJ PRON NOUN NOUN AUX VERB CCONJ NOUN VERB ADP ADJ NOUN NOUN PUNCT ADV AUX DET ADJ NOUN PRON VERB NOUN SCONJ PART VERB ADP NOUN CCONJ NOUN PUNCT VERB ADP ADP ADJ NOUN NOUN PUNCT CCONJ ADV AUX PRON VERB ADP SCONJ PART VERB ADJ ADJ NOUN PUNCT SPACE PRON AUX AUX NOUN ADP DET NOUN PUNCT ADP DET DET AUX PRON VERB ADP DET ADJ NOUN ADP NOUN NOUN CCONJ VERB ADJ ADP DET ADJ NOUN PRON AUX VERB NOUN ADP ADP NOUN ADP ADJ PUNCT CCONJ ADJ ADP DET NOUN CCONJ NOUN PRON ADP NOUN VERB SCONJ PART VERB DET ADJ NOUN PUNCT ADV AUX PRON VERB ADP PRON DET ADJ NOUN ADP PRON ADJ NOUN ADP NOUN ADP ADJ NOUN PUNCT ADJ AUX PRON VERB PART VERB ADV CCONJ VERB DET ADJ NOUN PRON VERB ADP PRON NOUN ADP DET ADJ NOUN NOUN PUNCT,0.034782608695652174,0.3737728194726151,181,1035,0.585635359116022,0.27964799049350275
"[Nei, sa, Beatrice, Bare, gå, ut, !, Beatrice, Nei, jeg, kan, ikke, ., Jeg, har, det, så, vanskelig, ,, sa, Peter, Beate, nei, Beatrice, Jeg, kan, ikke, gjøre, noe, Beate, Jeg, vil, hjelpe, deg, ,, Beatrice, Beate, Jeg, kan, da, ikke, Beatrice, Bare, gå, ut, !, Beatrice, Jeg, er, redd, for, at, du, skal, dø, ,, sa, Beate, Bare, gå, ut, !, Beatrice, Det, er, lett, for, deg, å, stå, opp, når, du, har, fått, nok, hvile, ,, sa, Beate, Jeg, er, glad, jeg, fant, deg, ,, Beatrice, ,, sa, Puslespill-mannen, ., Jeg, måtte, komme, meg, hjemmefra, ,, sa, Puslespill-damen, Du, har, godt, av, å, arbeide, ,, sa, Puslespill-damen, Beate, sa, ja, ., Men, Peter, sa, :, Ja, sa, Puslespill-damen, ., Jeg, kan, ikke, gå, og, jeg, vil, ikke, gå, sa, Beatrice, Hun, gikk, ikke, Beatrice, Gikk, ?, sa, Puslespill-damen, Javisst, ,, sa, Beatrice, Hun, gikk, ., Hun, hadde, en, rød, pose, i, hånden, ., Hun, gikk, ., Beatrice, gikk, ., Og, nå, er, jeg, glad]",INTJ VERB PROPN ADV VERB ADP PUNCT PROPN PROPN PRON VERB PART PUNCT PRON VERB PRON ADV ADJ PUNCT VERB PROPN PROPN NOUN PROPN PRON AUX PART VERB PRON PROPN PRON AUX VERB PRON PUNCT PROPN PROPN PRON AUX ADV PART PROPN ADV VERB ADP PUNCT PROPN PRON AUX ADJ SCONJ SCONJ PRON AUX VERB PUNCT VERB PROPN ADV VERB ADP PUNCT PROPN PRON AUX ADJ ADP PRON PART VERB ADP SCONJ PRON AUX VERB ADV VERB PUNCT VERB PROPN PRON AUX ADJ PRON VERB PRON PUNCT PROPN PUNCT VERB NOUN PUNCT PRON AUX VERB PRON ADP PUNCT VERB NOUN PRON VERB ADJ SCONJ PART VERB PUNCT VERB NOUN PROPN VERB NOUN PUNCT CCONJ PROPN VERB PUNCT INTJ VERB NOUN PUNCT PRON AUX PART VERB CCONJ PRON AUX PART VERB VERB PROPN PRON VERB PART PROPN PROPN PUNCT VERB NOUN ADJ PUNCT VERB PROPN PRON VERB PUNCT PRON VERB DET ADJ NOUN SCONJ NOUN PUNCT PRON VERB PUNCT PROPN VERB PUNCT CCONJ ADV AUX PRON ADJ,0.05179282868525897,0.4037215909090904,166,753,0.6265060240963856,0.32205031261217737
"[For, 2, av, elevene, har, disse, prøvene, hatt, betydning, for, deres, videre, valg, om, studie-, og, yrkesvalg, ., 
, På, spørsmål, om, elevene, hadde, lært, noe, nytt, i, løpet, av, disse, to, ukene, ,, svarer, elevene, slik, jeg, er, vant, til, at, elever, svarer, på, slike, sporsmål, :, "", Det, er, litt, vanskelig, å, si, !, "", "", Ja, ,, kanskje, litt, mer, sikker, på, hva, jeg, ønsker, å, bli, "", og, "", Hvilken, utdanning, jeg, bør, satse, på, "", ., Slik, svarer, en, av, elevene, også, på, spørsmål, om, hvilke, spørsmål, som, var, mest, interessante, å, få, svar, på, :, Spørsmålene, om, hvilke, yrkesvalgalternativer, man, har, ., Det, hadde, vært, interessant, å, få, høre, elevenes, egne, tanker, om, dette, spørsmålet, !, Og, det, er, ikke, noen, selvfølge, at, vi, lærere, skal, komme, med, våre, svar, på, spørsmål, de, fleste, av, elevene, antakelig, har, sine, egne, tanker, om, ., 
, Når, vi, spør, :, "", Hvad, tror, du, du, vil, satse, pa, ?, "", svarer, en, av, de, samme, elevene, :, "", Vet, ikke, ennå, "", ., Vi, har, fått, mange, forskjellige, svar, ,, både, det, som, er, opplagte, og, det, elevene, selv, vil, finne, ut, !, Et, annet, tema, elevene, mener, det, har]",ADP NUM ADP NOUN AUX DET NOUN VERB NOUN ADP PRON ADJ NOUN ADP NOUN CCONJ NOUN PUNCT SPACE ADP NOUN SCONJ NOUN AUX VERB DET ADJ ADP NOUN ADP DET NUM NOUN PUNCT VERB NOUN ADV PRON AUX ADJ SCONJ SCONJ NOUN VERB ADP DET NOUN PUNCT PUNCT PRON AUX ADJ ADJ PART VERB PUNCT PUNCT PUNCT INTJ PUNCT ADV ADJ ADJ ADJ SCONJ PRON PRON VERB PART VERB PUNCT CCONJ PUNCT DET NOUN PRON AUX VERB ADP PUNCT PUNCT ADV VERB DET ADP NOUN ADV ADP NOUN ADP DET NOUN PRON AUX ADJ ADJ PART VERB NOUN ADP PUNCT NOUN ADP DET NOUN PRON VERB PUNCT PRON AUX AUX ADJ PART AUX VERB NOUN DET NOUN ADP DET NOUN PUNCT CCONJ PRON AUX PART DET NOUN SCONJ PRON NOUN AUX VERB ADP PRON NOUN ADP NOUN DET ADJ ADP NOUN ADJ VERB PRON DET NOUN ADP PUNCT SPACE SCONJ PRON VERB PUNCT PUNCT PROPN VERB PRON PRON AUX VERB PROPN PUNCT PUNCT VERB DET ADP DET DET NOUN PUNCT PUNCT VERB PART ADV PUNCT PUNCT PRON AUX VERB ADJ ADJ NOUN PUNCT CCONJ PRON PRON AUX ADJ CCONJ PRON NOUN DET AUX VERB ADP PUNCT DET DET NOUN NOUN VERB PRON VERB,0.04583333333333333,0.3847420417124035,204,960,0.5882352941176471,0.3264958892133614
"[Utover, høsten, 1987, vil, det, bli, satt, i, gang, en, ny, utgave, av, «, Aschehougs, litteraturhistorie, », ,, hvor, man, forsøker, å, sammenholde, fremstillingen, i, «, bind, 2, », av, litteraturhistorien, med, den, nyeste, forskningen, ., Denne, utgaven, vil, på, denne, måten, få, en, særlig, sterk, tilknytning, til, moderne, litteraturkritikk, og, litteraturhistoriske, strømninger, ., Men, dette, innebærer, også, at, boken, ikke, vil, bli, så, sterkt, rettet, mot, skolens, pensumkrav, som, den, forrige, utgaven, ., 
, Det, er, særlig, to, trekk, i, utviklingen, innenfor, norsk, åndsliv, som, i, det, siste, tiåret, har, påkalt, de, skarpeste, og, mest, intense, reaksjonene, og, diskusjonene, ,, og, som, har, bidratt, til, å, gi, det, såkalte, «, modernismen, », et, sterkt, preg, av, å, ha, status, som, slagord, ., Tilsynelatende, dreier, det, seg, her, om, to, atskilte, områder, :, På, den, ene, siden, den, delen, av, moderne, lyrikk, som, bryter, radikalt, med, alle, tidligere, mønstre, for, diktning, og, som, eksperimenterer, med, uvanlige, strofeformer, og, bilder, ,, et, dikt, som, f.eks., Øyvind, Bergs, «, Bokseren, », ., På]",ADP NOUN NUM AUX PRON AUX VERB ADP NOUN DET ADJ NOUN ADP PUNCT PROPN NOUN PUNCT PUNCT ADV PRON VERB PART VERB NOUN ADP PUNCT NOUN NUM PUNCT ADP NOUN ADP DET ADJ NOUN PUNCT DET NOUN AUX ADP DET NOUN VERB DET ADJ ADJ NOUN ADP ADJ NOUN CCONJ ADJ NOUN PUNCT CCONJ PRON VERB ADV SCONJ NOUN PART AUX VERB ADV ADJ VERB ADP NOUN NOUN PRON DET DET NOUN PUNCT SPACE PRON AUX ADJ NUM NOUN ADP NOUN ADP ADJ NOUN PRON ADP DET ADJ NOUN AUX VERB DET ADJ CCONJ ADJ ADJ NOUN CCONJ NOUN PUNCT CCONJ PRON AUX VERB SCONJ PART VERB DET ADJ PUNCT NOUN PUNCT DET ADJ NOUN SCONJ PART VERB NOUN SCONJ NOUN PUNCT ADJ VERB PRON PRON ADV ADP NUM ADJ NOUN PUNCT ADP DET NUM ADP DET NOUN ADP ADJ NOUN PRON VERB ADJ ADP DET ADJ NOUN ADP NOUN CCONJ PRON VERB ADP ADJ NOUN CCONJ NOUN PUNCT DET NOUN PRON ADV PROPN PROPN PUNCT PROPN PUNCT PUNCT ADP,0.04677754677754678,0.36711938663745824,171,962,0.5263157894736842,0.3024360107936339
"[Personell, og, organisering, av, sekretariatet, •, Sekretariat, med, minimum, 3, stillinger, •, Etablering, av, 2, -, 4, stillinger, på, kort, varsel, ved, opptrapping, av, innsatsen, (, antydningsvis, 200, personer, ), •, Etablere, et, støtteapparat, for, det, nyopprettede, kompetansesenteret, (, antydningsvis, 100, personer, ), 
, 4.3.8, Koordinering, og, informasjonsinnhenting, i, planarbeidet, 4., 
, 4.3.9, Oppstart, i, planarbeidet, 4., 
, 4.4.5, Finansiering, av, tiltakene, over, statsbudsjettet, 4., 
, De, enkelte, departementene, har, ansvaret, for, å, ha, oversikt, over, helsetilstanden, og, for, å, følge, med, i, utviklingen, av, folkehelseproblemene, i, sin, sektor, ., Folkehelsemeldingen, gir, signal, om, at, det, fremover, er, viktig, å, legge, større, vekt, på, forebygging, og, helsefremming, som, en, del, av, samfunnssektorens, ansvarsområde, ., Folkehelsepolitikk, omfatter, å, sikre, omforente, politiske, føringer, for, det, lokale, og, regionale, arbeidet, ., Gjennom, meldingen, er, det, signalisert, at, kommunene, må, ta, et, ansvar, for, å, forebygge, sykdom, og, lidelser, og, fremme, helse, i, hele, sin, lokale, befolkning, ., Helsetjenesten, er, en, viktig]",NOUN CCONJ NOUN ADP NOUN PUNCT PROPN ADP NOUN NUM NOUN PUNCT NOUN ADP NUM PUNCT NUM NOUN ADP ADJ NOUN ADP NOUN ADP NOUN PUNCT ADV NUM NOUN PUNCT VERB NOUN DET NOUN ADP DET ADJ NOUN PUNCT ADV NUM NOUN PUNCT SPACE NUM NOUN CCONJ NOUN ADP NOUN ADJ SPACE NUM NOUN ADP NOUN ADJ SPACE NUM NOUN ADP NOUN ADP NOUN ADJ SPACE DET ADJ NOUN VERB NOUN SCONJ PART VERB NOUN ADP NOUN CCONJ ADP PART VERB ADP ADP NOUN ADP NOUN ADP PRON NOUN PUNCT NOUN VERB NOUN SCONJ SCONJ PRON ADP AUX ADJ PART VERB ADJ NOUN ADP NOUN CCONJ NOUN ADP DET NOUN ADP NOUN NOUN PUNCT NOUN VERB PART VERB ADJ ADJ NOUN ADP DET ADJ CCONJ ADJ NOUN PUNCT ADP NOUN AUX PRON VERB SCONJ NOUN AUX VERB DET NOUN SCONJ PART VERB NOUN CCONJ NOUN CCONJ VERB NOUN ADP ADJ PRON ADJ NOUN PUNCT NOUN AUX DET ADJ,0.04598825831702544,0.37243576567317427,158,1022,0.43037974683544306,0.23265308698912596
"[De, nevnte, artiklene, i, FN-publikasjoner, inneholder, mye, informasjon, som, er, avgj, ørende, for, å, kunne, gi, et, korrekt, svar, på, spørsmålet, om, Norge, er, folkerettslig, bundet, av, traktaten, ., I, tillegg, var, denne, studien, et, forsøk, på, å, kartlegge, hvilket, regelverk, det, er, som, binder, landene, ,, og, hvorledes, traktatene, er, bygget, opp, ., 
, praksis, og, hvordan, traktatene, er, blitt, fortolket, og, tolket, ., 
, Etter, å, ha, blitt, oppmerksom, på, de, ovennevnte, artiklene, begynte, jeg, å, tenke, over, hva, en, folkerettstraktat, er, ,, og, hva, den, skal, regulere, ., Ved, lesning, av, artikkelen, i, FN-publikasjonen, :, International, Treaties, ,, fant, jeg, ut, at, det, først, og, fremst, var, juridiske, traktater, som, det, finnes, en, del, av, innenfor, Folkeretten, ., I, tillegg, henvises, det, ofte, i, det, internasjonale, lovverket, ,, til, såkalte, alminnelige, eller, alminnelige, folkerettsregler, ., De, juridiske, traktatene, derimot, er, ofte, svært, omfattende, og, bygger, på, et, stort, antall, bestemmelser, som, gjelder, på, en, rekke, områder, ., De, alminnelige, folkerettsreglene, ,, som, vanligvis, bygger, på, sedvanerettslignende, status, ,, er, snev]",DET VERB NOUN ADP NOUN VERB ADJ NOUN PRON AUX ADJ ADJ SCONJ PART AUX VERB DET ADJ NOUN ADP NOUN ADP PROPN AUX ADJ VERB ADP NOUN PUNCT ADP NOUN AUX DET NOUN DET NOUN SCONJ PART VERB DET NOUN PRON AUX PRON VERB NOUN PUNCT CCONJ SCONJ NOUN AUX VERB ADP PUNCT SPACE NOUN CCONJ ADV NOUN AUX AUX VERB CCONJ VERB PUNCT SPACE SCONJ PART AUX VERB ADJ ADP DET ADJ NOUN VERB PRON PART VERB ADP PRON DET NOUN NOUN PUNCT CCONJ PRON PRON AUX VERB PUNCT ADP NOUN ADP NOUN ADP NOUN PUNCT PROPN PROPN PUNCT VERB PRON ADP SCONJ PRON ADV CCONJ ADJ AUX ADJ NOUN PRON PRON VERB DET NOUN ADP ADP PROPN PUNCT ADP NOUN VERB PRON ADJ ADP DET ADJ NOUN PUNCT ADP ADJ ADJ CCONJ ADJ NOUN PUNCT DET ADJ NOUN ADV AUX ADJ ADJ ADJ CCONJ VERB ADP DET ADJ NOUN NOUN PRON VERB ADP DET NOUN NOUN PUNCT DET ADJ NOUN PUNCT PRON ADV VERB ADP ADJ NOUN PUNCT AUX NOUN,0.03588748787584869,0.37164969450101804,173,1031,0.5317919075144508,0.29784472123943045
"[Bør, minimum, være, 10, av, 10., 
, a, ), —, Rødt, lys, (, tenning, ), —, grønt, lys, (, kjøring, ), b, ), —, Gult, lys, —, rødt, lys, (, tenning, ), 
, c, ), —, Rødt, lys, —, lys, i, blinkende, gult, -, —, grønt, lys, (, kjøring, ), 
, a, ), —, Vikeplikt, betyr, at, den, eller, de, du, kjører, bak, har, så, stor, fart, at, du, ikke, kan, kjøre, først, ., b, ), —, Vikeplikt, betyr, at, du, foran, ikke, har, gitt, tegn, om, at, du, skal, svinge, av, veien, ., c, ), —, Vikeplikt, betyr, at, du, bak, ikke, kan, kjøre, fordi, du, må, holde, tilbake, en, annen, bil, som, også, har, vikeplikt, ., 
, Lykter, som, er, godkjent, gir, i, alminnelighet, ikke, sjenerende, nærlys, og, må, ikke, være, blendende, ., Lyktene, bør, for, øvrig, være, slik, at, de, ikke, blender, møtende, trafikk, ., 
, Kravene, til, billykter, blir, strengere, etter, hvert, som, eldre, modeller, skiftes, ut, med, nye, ., Det, gjelder, særlig, bilens, alder, og, konstruksjon, ., I, 1974, kom, det, skjerpede, krav, til, parkeringslys, og, bak]",AUX NOUN AUX NUM ADP ADJ SPACE NOUN PUNCT PUNCT PROPN NOUN PUNCT NOUN PUNCT PUNCT ADJ NOUN PUNCT NOUN PUNCT PROPN PUNCT PUNCT ADJ NOUN PUNCT ADJ NOUN PUNCT NOUN PUNCT SPACE NOUN PUNCT PUNCT ADJ NOUN PUNCT NOUN ADP ADJ ADJ PUNCT PUNCT ADJ NOUN PUNCT NOUN PUNCT SPACE NOUN PUNCT PUNCT NOUN VERB SCONJ PRON CCONJ PRON PRON VERB ADP VERB ADV ADJ NOUN SCONJ PRON PART AUX VERB ADV PUNCT NOUN PUNCT PUNCT NOUN VERB SCONJ PRON ADP PART AUX VERB NOUN SCONJ SCONJ PRON AUX VERB ADP NOUN PUNCT NOUN PUNCT PUNCT NOUN VERB SCONJ PRON ADP PART AUX VERB SCONJ PRON AUX VERB ADP DET DET NOUN PRON ADV VERB NOUN PUNCT SPACE NOUN PRON AUX ADJ VERB ADP NOUN PART ADJ NOUN CCONJ AUX PART AUX ADJ PUNCT NOUN AUX ADP ADJ AUX ADV SCONJ PRON PART VERB ADJ NOUN PUNCT SPACE NOUN ADP NOUN VERB ADJ ADP DET PRON ADJ NOUN VERB ADP ADP ADJ PUNCT PRON VERB ADJ NOUN NOUN CCONJ NOUN PUNCT ADP NUM VERB DET ADJ NOUN ADP PROPN CCONJ ADP,0.05562422744128554,0.40597368421052427,182,809,0.46703296703296704,0.21141127386239045
